ID	TOKEN	CUE	SCOPES					
51	consegnate	O	-					
52	a	O	-					
53	Muccia	O	-					
54	hanno	O	-					
55	subito	O	-					
56	dei	O	-					
57	piccoli	O	-					
58	danni	O	-					
59	,	O	-					
60	questo	O	-					
61	è	O	-					
62	vero	O	-					
63	,	O	-					
64	ma	O	-					
65	hanno	O	-					
66	comunque	O	-					
67	subito	O	-					
68	dei	O	-					
69	danni	O	-					
70	.	O	-					
71	Se	O	-					
72	le	O	-					
73	scosse	O	-					
74	dovessero	O	-					
75	proseguire	O	-					
76	vi	O	-					
77	saranno	O	-					
78	ulteriori	O	-					
79	problemi	O	-					
80	.	O	-					
81	Una	O	-					
82	famiglia	O	-					
83	con	O	-					
84	una	O	-					
85	casa	O	-					
86	appena	O	-					
87	consegnata	O	-					
88	(	O	-					
89	aveva	O	-					
90	una	O	-					
91	casa	O	-					
92	inagibile	O	-					
93	)	O	-					
94	,	O	-					
95	si	O	-					
96	trova	O	-					
97	di	O	-					
98	nuovo	O	-					
99	in	O	-					
100	strada	O	-					
101	,	O	-					
102	perché	O	-					
103	la	O	-					
104	casa	O	-					
105	che	O	-					
106	gli	O	-					
107	è	O	-					
108	stata	O	-					
109	assegnata	O	-					
110	dal	O	-					
111	comune	O	-					
112	è	O	-					
113	anch'	O	-					
114	essa	O	-					
115	ora	O	-					
116	inagibile	O	-					
117	.	O	-					
118	Queste	O	120					
119	cose	O	120					
120	non	BN	-					
121	devono	O	120					
122	più	O	120					
123	accadere	O	120					
124	.	O	120					
125	Noi	O	-					
126	siamo	O	-					
127	parlamentari	O	-					
128	,	O	-					
129	abbiamo	O	-					
130	qui	O	-					
131	la	O	-					
132	possibilità	O	-					
133	di	O	-					
134	iniziare	O	-					
135	a	O	-					
136	fare	O	-					
137	qualcosa	O	-					
138	per	O	-					
139	queste	O	-					
140	zone	O	-					
141	che	O	-					
142	comunque	O	-					
143	vivono	O	-					
144	e	O	-					
145	continueranno	O	-					
146	a	O	-					
147	vivere	O	-					
148	in	O	-					
149	territori	O	-					
150	altamente	O	-					
151	sismici	O	-					
152	.	O	-					
153	Quindi	O	-					
154	,	O	-					
155	io	O	-					
156	rivolgo	O	-					
157	,	O	-					
158	come	O	-					
159	ha	O	-					
160	già	O	-					
161	fatto	O	-					
162	il	O	-					
163	collega	O	-					
164	Baldelli	O	-					
165	,	O	-					
166	un	O	-					
167	appello	O	-					
168	a	O	-					
169	tutte	O	-					
170	le	O	-					
171	forze	O	-					
172	politiche	O	-					
173	di	O	-					
174	affrontare	O	-					
175	l'	O	-					
176	argomento	O	-					
177	,	O	-					
178	non	BN?	-					
179	solo	O	178?					
180	della	O	-					
181	ricostruzione	O	-					
182	e	O	-					
183	del	O	-					
184	rilancio	O	-					
185	dell'	O	-					
186	economia	O	-					
187	in	O	-					
188	queste	O	-					
189	zone	O	-					
190	colpite	O	-					
191	dal	O	-					
192	terremoto	O	-					
193	dal	O	-					
194	2016	O	-					
195	ad	O	-					
196	oggi	O	-					
197	,	O	-					
198	ma	O	-					
199	anche	O	-					
200	di	O	-					
201	fare	O	-					
202	attenzione	O	-					
203	su	O	-					
204	tutti	O	-					
205	i	O	-					
206	provvedimenti	O	-					
207	futuri	O	-					
208	per	O	-					
209	mettere	O	-					
210	in	O	-					
211	sicurezza	O	-					
212	tutti	O	-					
213	gli	O	-					
214	edifici	O	-					
215	in	O	-					
216	Italia	O	-					
217	,	O	-					
218	soprattutto	O	-					
219	per	O	-					
220	quanto	O	-					
221	riguarda	O	-					
222	gli	O	-					
223	ospedali	O	-					
224	e	O	-					
225	le	O	-					
226	scuole	O	-					
227	.	O	-					
*** INTERVENTO NUMERO 33 ***								
0	Chiedo	O	-					
1	di	O	-					
2	parlare	O	-					
3	.	O	-					
*** INTERVENTO NUMERO 35 ***								
0	Presidente	O	-					
1	,	O	-					
2	mi	O	-					
3	unisco	O	-					
4	alle	O	-					
5	parole	O	-					
6	che	O	-					
7	ho	O	-					
8	ascoltato	O	-					
9	fin	O	-					
10	qui	O	-					
11	e	O	-					
12	penso	BS	-					
13	che	O	12					
14	tanto	O	12					
15	la	O	12					
16	crisi	O	12					
17	di	O	12					
18	alcune	O	12					
19	aziende	O	12					
20	,	O	12					
21	le	O	12					
22	condizioni	O	12					
23	di	O	12					
24	disagio	O	12					
25	che	O	12					
26	stanno	O	12					
27	soffrendo	O	12					
28	centinaia	O	12					
29	e	O	12					
30	centinaia	O	12					
31	di	O	12					
32	lavoratori	O	12					
33	,	O	12					
34	quanto	O	12					
35	la	O	12					
36	questione	O	12					
37	del	O	12					
38	terremoto	O	12					
39	,	O	12					
40	delle	O	12					
41	sue	O	12					
42	conseguenze	O	12					
43	in	O	12					
44	particolare	O	12					
45	nella	O	12					
46	zona	O	12					
47	del	O	12					
48	Centro	O	12					
49	Italia	O	12					
50	,	O	12					
51	possano	O	12					
52	essere	O	12					
53	uno	O	12					
54	stimolo	O	12					
55	sufficiente	O	12					
56	per	O	12					
57	tutte	O	12					
58	le	O	12					
59	forze	O	12					
60	politiche	O	12					
61	per	O	12					
62	fare	O	12					
63	un	O	12					
64	passo	O	12					
65	in	O	12					
66	avanti	O	12					
67	nella	O	12					
68	costruzione	O	12					
69	di	O	12					
70	quello	O	12					
71	che	O	12					
72	dovrà	O	12					
73	essere	O	12					
74	il	O	12					
75	Governo	O	12					
76	della	O	12					
77	XVIII	O	12					
78	legislatura	O	12					
79	.	O	12					
80	Però	O	-					
81	,	O	-					
82	proprio	O	-					
83	partendo	O	-					
84	da	O	-					
85	queste	O	-					
86	osservazioni	O	-					
87	,	O	-					
88	queste	O	-					
89	riflessioni	O	-					
90	,	O	-					
91	mi	O	-					
92	corre	O	-					
93	l'	O	-					
94	obbligo	O	-					
95	di	O	-					
96	far	O	-					
97	presente	O	-					
98	che	O	-					
99	questi	O	119, 132, 134					
100	sforzi	O	119, 132, 134					
101	,	O	-					
102	che	O	-					
103	tutti	O	-					
104	sappiamo	O	-					
105	leggere	O	-					
106	(	O	-					
107	anche	O	-					
108	le	O	-					
109	persone	O	-					
110	meno	O	-					
111	provviste	O	-					
112	di	O	-					
113	spirito	O	-					
114	critico	O	-					
115	e	O	-					
116	analitico	O	-					
117	)	O	-					
118	,	O	-					
119	potrebbero	BS	-					
120	dare	O	119					
121	vita	O	119					
122	a	O	119					
123	un	O	119					
124	Governo	O	119					
125	,	O	119					
126	come	O	-					
127	tutti	O	-					
128	ci	O	-					
129	auguriamo	O	-					
130	,	O	-					
131	ma	O	-					
132	potrebbero	BS	-					
133	anche	O	132					
134	non	BN	132					
135	dare	O	132, 134					
136	vita	O	132, 134					
137	a	O	132, 134					
138	un	O	132, 134					
139	Governo	O	132, 134					
140	e	O	-					
141	chi	O	153					
142	fa	O	153					
143	questo	O	153					
144	mestiere	O	153					
145	,	O	153					
146	chi	O	153					
147	si	O	153					
148	impegna	O	153					
149	in	O	153					
150	un'	O	153					
151	attività	O	153					
152	pubblica	O	153					
153	penso	BS	-					
154	che	O	153					
155	abbia	O	153					
156	il	O	153					
157	dovere	O	153					
158	e	O	153					
159	il	O	153					
160	compito	O	153					
161	della	O	153					
162	lungimiranza	O	153					
163	.	O	153					
164	Noi	O	165					
165	non	BN	-					
166	possiamo	O	165					
167	rischiare	O	165					
168	di	O	165					
169	affrontare	O	165					
170	una	O	165					
171	eventuale	O	165					
172	campagna	O	165					
173	elettorale	O	165					
174	anticipata	O	165					
175	con	O	165					
176	questa	O	165					
177	legge	O	165					
178	elettorale	O	165					
179	che	O	-					
180	sta	O	-					
181	producendo	O	-					
182	l'	O	-					
183	ingovernabilità	O	-					
184	e	O	-					
185	lo	O	-					
186	stallo	O	-					
187	che	O	-					
188	è	O	-					
189	sotto	O	-					
190	gli	O	-					
191	occhi	O	-					
192	di	O	-					
193	tutti	O	-					
194	.	O	-					
195	Per	O	-					
196	questa	O	-					
197	ragione	O	-					
198	,	O	-					
199	nelle	O	-					
200	competenze	O	-					
201	della	O	-					
202	Commissione	O	-					
203	speciale	O	-					
204	,	O	-					
205	che	O	-					
206	domani	O	-					
207	o	O	-					
208	dopodomani	O	-					
209	sarà	O	-					
210	insediata	O	-					
211	ufficialmente	O	-					
212	e	O	-					
213	formalmente	O	-					
214	,	O	-					
215	Fratelli	O	228?					
216	d'	O	228?					
217	Italia	O	228?					
218	ha	O	228?					
219	chiesto	O	228?					
220	di	O	228?					
221	poter	O	228?					
222	introdurre	O	228?					
223	,	O	228?					
224	aggiungere	O	228?					
225	la	O	228?					
226	materia	O	228?					
227	,	O	228?					
228	non	BN	-					
229	della	O	228					
230	legge	O	228					
231	elettorale	O	228					
232	,	O	-					
233	che	O	-					
234	è	O	-					
235	una	O	-					
236	competenza	O	-					
237	tipica	O	-					
238	della	O	-					
239	legislatura	O	-					
240	per	O	-					
241	cui	O	-					
242	dovrà	O	-					
243	fare	O	-					
244	,	O	-					
245	nel	O	-					
246	caso	O	-					
247	qualche	O	-					
248	gruppo	O	-					
249	parlamentare	O	-					
250	volesse	O	-					
251	proporre	O	-					
252	delle	O	-					
253	modifiche	O	-					
254	sostanziali	O	-					
255	,	O	-					
256	delle	O	-					
257	riforme	O	-					
258	al	O	-					
259	riguardo	O	-					
260	,	O	-					
261	il	O	-					
262	suo	O	-					
263	lavoro	O	-					
264	nelle	O	-					
265	Commissioni	O	-					
266	permanenti	O	-					
267	,	O	-					
268	ma	O	-					
269	la	O	-					
270	correzione	O	-					
271	,	O	-					
272	con	O	-					
273	l'	O	-					
274	introduzione	O	-					
275	,	O	-					
276	nella	O	-					
277	attuale	O	-					
278	vigente	O	-					
279	legge	O	-					
280	elettorale	O	-					
281	,	O	-					
282	del	O	-					
283	premio	O	-					
284	di	O	-					
285	maggioranza	O	-					
286	,	O	-					
287	per	O	-					
288	evitare	O	-					
289	che	O	-					
290	possa	O	-					
291	essere	O	-					
292	vanificato	O	-					
293	il	O	-					
294	voto	O	-					
295	dei	O	-					
296	cittadini	O	-					
297	,	O	-					
298	come	O	-					
299	sta	O	-					
300	accadendo	O	-					
301	in	O	-					
302	questi	O	-					
303	casi	O	-					
304	.	O	-					
305	Pensavamo	BS	-					
306	,	O	-					
307	come	O	-					
308	Fratelli	O	-					
309	d'	O	-					
310	Italia	O	-					
311	,	O	-					
312	che	O	305					
313	queste	O	305					
314	considerazioni	O	305					
315	potessero	O	305					
316	essere	O	305					
317	condivise	O	305					
318	da	O	305					
319	tutte	O	305					
320	le	O	305					
321	forze	O	305					
322	politiche	O	305					
323	,	O	305					
324	nessuna	BN	305, 324					
325	esclusa	O	305, 324					
326	,	O	305					
327	in	O	305					
328	modo	O	305					
329	particolare	O	305					
330	quelle	O	305					
331	che	O	305					
332	,	O	305					
333	in	O	305					
334	queste	O	305					
335	settimane	O	305					
336	,	O	305					
337	hanno	O	305					
338	criticato	O	305					
339	l'	O	305					
340	inefficacia	O	305					
341	dell'	O	305					
342	attuale	O	305					
343	legge	O	305					
344	.	O	305					
345	Volevo	O	-					
346	dire	O	-					
347	questo	O	-					
348	affinché	O	-					
349	rimanesse	O	-					
350	agli	O	-					
351	atti	O	-					
352	dell'	O	-					
353	Aula	O	-					
354	,	O	-					
355	perché	O	-					
356	diciamo	O	-					
357	che	O	-					
358	la	O	-					
359	Conferenza	O	-					
360	dei	O	-					
361	capigruppo	O	-					
362	è	O	-					
363	il	O	-					
364	luogo	O	-					
365	proprio	O	-					
366	,	O	-					
367	ma	O	-					
368	è	O	-					
369	un	O	-					
370	luogo	O	-					
371	che	O	372					
372	non	BN	-					
373	lascia	O	372					
374	segno	O	372					
375	.	O	372					
376	Quindi	O	-					
377	volevo	O	-					
378	che	O	-					
379	tutti	O	-					
380	si	O	-					
381	rendessero	O	-					
382	conto	O	-					
383	di	O	-					
384	quanto	O	-					
385	accaduto	O	-					
386	,	O	-					
387	cioè	O	-					
388	che	O	-					
389	questa	O	430					
390	proposta	O	430					
391	di	O	430					
392	correzione	O	430					
393	della	O	430					
394	legge	O	430					
395	elettorale	O	430					
396	,	O	-					
397	con	O	-					
398	introduzione	O	-					
399	del	O	-					
400	premio	O	-					
401	di	O	-					
402	maggioranza	O	-					
403	,	O	-					
404	per	O	-					
405	garantire	O	-					
406	la	O	-					
407	governabilità	O	-					
408	nel	O	-					
409	caso	O	-					
410	in	O	-					
411	cui	O	-					
412	non	BN	-					
413	si	O	412					
414	riuscisse	O	412					
415	a	O	412					
416	fare	O	412					
417	un	O	412					
418	Governo	O	412					
419	e	O	-					
420	,	O	-					
421	quindi	O	-					
422	,	O	-					
423	si	O	-					
424	dovesse	O	-					
425	andare	O	-					
426	al	O	-					
427	voto	O	-					
428	anticipato	O	-					
429	,	O	-					
430	non	BN	-					
431	è	O	430					
432	passata	O	430					
433	perché	O	-					
434	i	O	446					
435	partiti	O	446					
436	,	O	446					
437	che	O	446					
438	sono	O	446					
439	stati	O	446					
440	i	O	446					
441	promotori	O	446					
442	della	O	446					
443	legge	O	446					
444	attuale	O	446					
445	,	O	446					
446	non	BN	-					
447	si	O	446					
448	sono	O	446					
449	…	O	446					
*** INTERVENTO NUMERO 37 ***								
0	…	O	?					
1	dimostrati	O	?					
2	sensibili	O	?					
3	e	O	-					
4	hanno	O	11?					
5	voltato	O	11?					
6	le	O	11?					
7	spalle	O	11?					
8	agli	O	11?					
9	interessi	O	11?					
10	,	O	11?					
11	non	BN	-					
12	di	O	11					
13	chi	O	11					
14	ha	O	11					
15	fatto	O	11					
16	questa	O	11					
17	cosa	O	11					
18	…	O	11					
*** INTERVENTO NUMERO 39 ***								
0	…	O	-					
1	ma	O	-					
2	agli	O	-					
3	interessi	O	-					
4	del	O	-					
5	popolo	O	-					
6	italiano	O	-					
7	.	O	-					
